Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
508_2000_4,53.522,0.372,67.6,2.4,4.2,3.4,22.4,1.994
508_2100_0,50.930,0.372,67.6,2.6,4.0,3.3,22.5,2.093
508_2100_1,51.386,0.376,66.8,2.2,4.0,3.4,23.6,2.094
508_2100_2,49.912,0.365,69.0,2.4,4.1,3.2,21.4,2.094
508_2100_3,51.255,0.375,66.9,2.4,5.6,3.1,22.0,2.093
508_2100_4,49.856,0.364,69.0,2.3,4.2,3.2,21.4,2.095
508_2300_0,46.369,0.371,67.2,2.7,4.2,3.4,22.5,2.293
508_2300_1,46.607,0.373,67.5,2.5,4.8,3.3,21.9,2.294
508_2300_2,45.474,0.364,68.4,2.3,4.1,3.2,22.0,2.292
508_2300_3,46.680,0.374,67.3,2.4,3.9,3.6,22.8,2.293
508_2300_4,46.772,0.374,66.7,2.9,4.0,3.8,22.7,2.293
508_2400_0,44.660,0.374,68.0,2.8,4.7,3.5,20.9,2.394
508_2400_1,44.996,0.376,67.6,2.3,4.3,3.4,22.4,2.394
508_2400_2,44.589,0.373,66.9,3.1,4.7,3.7,21.6,2.393
508_2400_3,44.591,0.373,66.5,3.3,4.7,3.5,22.0,2.393
508_2400_4,44.456,0.372,67.4,2.6,4.1,3.5,22.4,2.393
508_2500_0,42.463,0.369,68.0,2.5,4.7,3.3,21.6,2.492
508_2500_1,42.951,0.374,66.7,2.8,4.1,3.8,22.6,2.491
508_2500_2,42.037,0.366,68.6,2.2,3.8,3.3,22.1,2.493
508_2500_3,42.813,0.373,67.1,2.6,4.1,3.3,22.9,2.492
508_2500_4,42.929,0.373,66.3,3.0,4.2,3.5,23.1,2.491
508_2600_0,40.864,0.370,67.3,2.8,4.1,3.4,22.4,2.591
508_2600_1,40.855,0.370,67.4,2.8,4.4,3.3,22.0,2.593
508_2600_2,41.090,0.372,66.3,2.6,4.6,3.8,22.8,2.591
508_2600_3,41.064,0.372,66.2,2.6,4.6,3.7,23.0,2.591
508_2600_4,40.878,0.370,67.2,2.6,4.0,3.4,22.8,2.591
508_3700_0,29.187,0.372,66.4,2.9,4.6,3.7,22.5,3.66
508_3700_1,29.227,0.373,66.2,3.0,4.6,3.7,22.6,3.66
508_3700_2,29.173,0.372,66.2,2.9,4.6,3.7,22.6,3.662
508_3700_3,29.226,0.372,66.2,2.9,4.6,3.7,22.7,3.659
508_3700_4,29.200,0.373,66.3,3.0,4.5,3.4,22.8,3.661
510_1000_0,127.211,0.463,47.6,12.7,6.2,8.9,24.5,0.997577
510_1000_1,127.248,0.463,47.3,12.7,6.1,9.3,24.6,0.997308
510_1000_2,127.256,0.463,47.3,12.8,6.2,9.0,24.6,0.997727
510_1000_3,127.247,0.463,47.5,12.8,6.1,9.0,24.5,0.997893
510_1000_4,127.455,0.464,47.6,12.9,6.1,8.9,24.5,0.9975449999999999
510_1100_0,116.227,0.466,47.1,12.7,6.7,9.3,24.2,1.097
510_1100_1,115.898,0.464,47.1,12.3,6.7,9.6,24.3,1.097
510_1100_2,115.890,0.464,47.5,12.3,6.3,9.1,24.8,1.097
510_1100_3,115.850,0.464,47.2,12.3,6.7,9.3,24.5,1.097
510_1100_4,115.888,0.464,47.6,12.2,6.3,9.2,24.7,1.097
510_1200_0,106.487,0.465,47.8,13.5,6.6,8.8,23.3,1.197
510_1200_1,106.531,0.466,48.1,13.4,6.6,8.7,23.2,1.197
510_1200_2,106.561,0.465,48.0,13.6,6.6,8.5,23.3,1.196
510_1200_3,106.464,0.465,47.8,13.3,6.7,8.9,23.3,1.197
510_1200_4,106.515,0.465,47.9,13.5,6.6,8.5,23.5,1.197
510_1300_0,99.404,0.468,47.3,13.1,6.7,9.3,23.6,1.297
510_1300_1,99.396,0.468,47.4,13.1,6.7,9.0,23.8,1.297
510_1300_2,99.350,0.468,47.4,13.1,6.5,9.1,24.0,1.296
510_1300_3,99.383,0.468,47.3,12.9,6.7,9.2,24.0,1.297
510_1300_4,99.496,0.468,46.2,12.7,6.5,9.7,24.9,1.296
510_1500_0,86.226,0.471,46.0,13.4,6.8,9.6,24.2,1.496
510_1500_1,86.227,0.471,46.0,13.5,7.0,9.5,23.9,1.497
510_1500_2,86.248,0.471,46.1,13.4,6.7,9.5,24.4,1.496
510_1500_3,86.228,0.471,46.1,13.4,6.8,9.4,24.4,1.496
510_1500_4,86.210,0.471,45.7,13.3,7.2,9.9,23.9,1.496
510_1600_0,81.286,0.474,45.7,12.3,6.5,10.7,24.8,1.596
510_1600_1,81.292,0.474,45.7,12.3,6.5,10.9,24.5,1.595
510_1600_2,81.221,0.473,46.2,12.1,6.4,10.5,24.9,1.596
510_1600_3,81.246,0.473,46.0,12.1,6.6,10.5,24.9,1.595
510_1600_4,81.242,0.473,45.9,12.1,6.6,10.5,25.0,1.596
510_1700_0,76.804,0.475,45.6,12.2,6.8,11.4,24.1,1.695
510_1700_1,76.771,0.475,45.8,12.2,6.6,10.7,24.6,1.696
510_1700_2,76.816,0.475,45.9,12.1,6.6,11.2,24.2,1.695
510_1700_3,76.762,0.475,45.6,12.1,7.1,11.1,24.1,1.696
510_1700_4,76.828,0.476,46.3,12.3,6.5,10.6,24.4,1.696
510_1800_0,72.927,0.478,46.4,11.8,5.6,11.2,25.0,1.795
510_1800_1,73.012,0.478,47.0,11.7,5.7,11.0,24.6,1.794
510_1800_2,72.891,0.478,46.7,11.8,5.6,10.9,25.1,1.795
510_1800_3,72.899,0.478,46.2,11.8,5.6,11.0,25.5,1.795
510_1800_4,72.879,0.478,46.3,11.6,5.8,11.2,25.1,1.795
510_1900_0,69.481,0.481,45.7,12.0,6.0,11.3,25.0,1.894
510_1900_1,69.469,0.481,45.5,11.9,5.9,11.2,25.4,1.895
510_1900_2,69.499,0.481,45.7,12.1,5.9,11.0,25.3,1.895
510_1900_3,69.473,0.481,45.8,11.9,5.9,11.4,25.0,1.895
510_1900_4,69.440,0.480,45.9,11.8,5.9,11.6,24.8,1.894
510_2000_0,66.824,0.483,45.0,12.5,6.0,11.4,25.0,1.995
510_2000_1,66.793,0.483,45.0,12.3,6.1,11.6,25.0,1.995
510_2000_2,66.793,0.483,44.7,12.2,6.3,11.2,25.6,1.994
510_2000_3,66.768,0.483,44.8,12.3,6.3,10.9,25.7,1.995
510_2000_4,66.791,0.483,44.7,12.2,6.3,11.5,25.4,1.994
510_2100_0,63.881,0.485,45.4,12.2,5.5,11.8,25.1,2.094
510_2100_1,63.913,0.485,45.2,12.1,5.7,12.0,25.0,2.094
510_2100_2,63.881,0.485,44.9,12.4,5.7,11.7,25.4,2.094
510_2100_3,64.037,0.486,45.8,12.4,5.8,11.8,24.2,2.094
510_2100_4,63.970,0.486,44.5,12.3,6.0,12.1,25.1,2.094
510_2300_0,57.952,0.485,44.7,12.4,6.4,12.0,24.5,2.294
510_2300_1,57.911,0.485,45.0,12.1,6.2,11.8,24.9,2.294
510_2300_2,57.947,0.485,44.9,12.4,6.4,12.4,23.8,2.293
510_2300_3,57.939,0.485,45.0,12.2,6.5,12.3,24.1,2.293
510_2300_4,57.944,0.485,45.0,12.1,6.4,12.3,24.2,2.293
510_2400_0,55.496,0.485,45.2,12.2,6.3,11.8,24.4,2.393
510_2400_1,55.558,0.485,45.1,11.8,5.8,12.4,24.9,2.393
510_2400_2,55.507,0.485,44.9,12.0,6.2,12.3,24.5,2.392
510_2400_3,55.507,0.485,45.0,12.0,6.2,12.3,24.5,2.393
510_2400_4,55.473,0.484,44.8,12.0,6.2,12.1,24.7,2.391
510_2500_0,53.353,0.485,45.7,11.8,5.5,12.3,24.7,2.493
510_2500_1,53.371,0.485,45.7,12.0,5.5,12.8,24.0,2.493
510_2500_2,53.371,0.485,45.6,12.0,5.6,12.7,24.2,2.493
510_2500_3,53.339,0.485,46.0,12.2,5.6,12.3,23.9,2.493
510_2500_4,53.352,0.485,45.9,12.0,5.5,12.5,24.0,2.493
510_2600_0,49.614,0.470,46.6,13.2,6.2,9.4,24.6,2.594
510_2600_1,49.593,0.470,46.0,13.3,6.3,9.2,25.2,2.591
510_2600_2,49.604,0.470,46.0,13.4,6.4,9.1,25.0,2.592
510_2600_3,49.582,0.470,45.9,13.2,6.4,9.1,25.4,2.59
510_2600_4,49.601,0.470,46.1,13.5,6.0,9.4,24.9,2.592
510_3700_0,36.710,0.484,45.1,12.1,6.3,11.1,25.4,3.628
510_3700_1,36.708,0.483,44.8,12.1,6.6,10.5,26.0,3.625
510_3700_2,36.694,0.483,44.9,12.2,6.9,11.2,24.8,3.626
510_3700_3,36.680,0.483,45.4,12.0,6.6,10.6,25.5,3.626
510_3700_4,36.711,0.484,44.3,12.5,7.3,11.1,24.9,3.628
511_1000_0,13.454,0.396,64.9,14.0,8.3,2.6,10.3,0.997581
511_1000_1,13.495,0.396,64.8,14.0,8.3,1.2,11.7,0.995943
511_1000_2,13.447,0.395,65.6,14.7,8.3,1.1,10.3,0.996013
511_1000_3,13.447,0.396,66.2,14.0,7.6,2.4,9.7,0.99773
511_1000_4,13.466,0.396,66.1,14.0,8.3,2.3,9.3,0.996835
511_1100_0,12.258,0.397,67.3,14.6,8.3,1.8,8.0,1.097
511_1100_1,12.293,0.398,66.5,13.9,8.9,2.0,8.7,1.097
511_1100_2,12.251,0.396,68.1,14.6,7.6,1.8,7.8,1.094
511_1100_3,12.255,0.396,67.4,14.6,8.3,1.8,7.9,1.094
511_1100_4,12.235,0.396,67.5,14.6,8.3,1.8,7.8,1.094
511_1200_0,11.223,0.396,64.3,14.0,8.3,2.7,10.7,1.193
511_1200_1,11.253,0.397,64.1,14.6,8.3,2.5,10.5,1.194
511_1200_2,11.236,0.397,64.1,14.0,7.6,2.9,11.5,1.197
511_1200_3,11.228,0.396,63.6,14.0,7.6,3.0,11.8,1.194
511_1200_4,11.169,0.394,64.0,14.1,8.3,1.4,12.2,1.195
511_1300_0,10.378,0.396,63.6,14.0,7.6,3.0,11.8,1.291
511_1300_1,10.336,0.395,64.4,14.0,7.7,3.1,10.8,1.293
511_1300_2,10.353,0.395,63.7,13.4,8.3,3.0,11.6,1.294
511_1300_3,10.342,0.396,65.7,14.4,7.9,2.4,9.6,1.296
511_1300_4,10.360,0.396,63.0,13.4,8.3,3.1,12.2,1.293
